Key,Section,Weight,Area,depth,bflange,tweb,tflange,kdes,bf_2tf,h_tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,JModulus,Cw,Qf,Qw,rts,ho
117,W16X100,100.00,29.40,17.00,10.40,0.59,0.99,1.39,5.29,24.30,1490.00,198.00,175.00,7.10,186.00,54.90,35.70,2.51,7.73,11900.00,38.70,98.50,2.92,16.00
118,W18X35,35.00,10.30,17.70,6.00,0.30,0.43,0.83,7.06,53.50,510.00,66.50,57.60,7.04,15.30,8.06,5.12,1.22,0.51,1140.00,10.50,32.70,1.51,17.30
119,W18X40,40.00,11.80,17.90,6.02,0.32,0.53,0.93,5.73,50.90,612.00,78.40,68.40,7.21,19.10,10.00,6.35,1.27,0.81,1440.00,13.00,38.60,1.56,17.40
120,W18X46,46.00,13.50,18.10,6.06,0.36,0.61,1.01,5.01,44.60,712.00,90.70,78.80,7.25,22.50,11.70,7.43,1.29,1.22,1720.00,15.10,44.90,1.58,17.50
121,W18X50,50.00,14.70,18.00,7.50,0.36,0.57,0.97,6.57,45.20,800.00,101.00,88.90,7.38,40.10,16.60,10.70,1.65,1.24,3040.00,17.70,49.90,1.98,17.40
122,W18X55,55.00,16.20,18.10,7.53,0.39,0.63,1.03,5.98,41.10,890.00,112.00,98.30,7.41,44.90,18.50,11.90,1.67,1.66,3430.00,19.60,55.30,2.00,17.50
123,W18X60,60.00,17.60,18.20,7.56,0.42,0.70,1.10,5.44,38.70,984.00,123.00,108.00,7.47,50.10,20.60,13.30,1.68,2.17,3850.00,21.70,60.60,2.02,17.50
124,W18X65,65.00,19.10,18.40,7.59,0.45,0.75,1.15,5.06,35.70,1070.00,133.00,117.00,7.49,54.80,22.50,14.40,1.69,2.73,4240.00,23.60,66.30,2.03,17.70
125,W18X71,71.00,20.90,18.50,7.64,0.50,0.81,1.21,4.71,32.40,1170.00,146.00,127.00,7.50,60.30,24.70,15.80,1.70,3.49,4700.00,25.60,72.40,2.05,17.70
126,W18X76,76.00,22.30,18.20,11.00,0.43,0.68,1.08,8.11,37.80,1330.00,163.00,146.00,7.73,152.00,42.20,27.60,2.61,2.83,11700.00,31.50,80.60,3.02,17.50
127,W18X86,86.00,25.30,18.40,11.10,0.48,0.77,1.17,7.20,33.40,1530.00,186.00,166.00,7.77,175.00,48.40,31.60,2.63,4.10,13600.00,36.00,92.40,3.05,17.60
128,W18X97,97.00,28.50,18.60,11.10,0.54,0.87,1.27,6.41,30.00,1750.00,211.00,188.00,7.82,201.00,55.30,36.10,2.65,5.86,15800.00,40.70,105.00,3.08,17.70
129,W18X106,106.00,31.10,18.70,11.20,0.59,0.94,1.34,5.96,27.20,1910.00,230.00,204.00,7.84,220.00,60.50,39.40,2.66,7.48,17400.00,44.30,114.00,3.10,17.80
130,W18X119,119.00,35.10,19.00,11.30,0.66,1.06,1.46,5.31,24.50,2190.00,262.00,231.00,7.90,253.00,69.10,44.90,2.69,10.60,20300.00,50.60,131.00,3.13,17.90
131,W18X130,130.00,38.30,19.30,11.20,0.67,1.20,1.60,4.65,23.90,2460.00,290.00,256.00,8.03,278.00,76.70,49.90,2.70,14.50,22700.00,57.20,146.00,3.13,18.10
132,W18X143,143.00,42.00,19.50,11.20,0.73,1.32,1.72,4.25,22.00,2750.00,322.00,282.00,8.09,311.00,85.40,55.50,2.72,19.20,25700.00,62.80,160.00,3.17,18.20
133,W18X158,158.00,46.30,19.70,11.30,0.81,1.44,1.84,3.92,19.80,3060.00,356.00,310.00,8.12,347.00,94.80,61.40,2.74,25.20,29000.00,69.00,177.00,3.20,18.30
134,W18X175,175.00,51.40,20.00,11.40,0.89,1.59,1.99,3.58,18.00,3450.00,398.00,344.00,8.20,391.00,106.00,68.80,2.76,33.80,33300.00,76.90,198.00,3.24,18.40
135,W18X192,192.00,56.20,20.40,11.50,0.96,1.75,2.15,3.27,16.70,3870.00,442.00,380.00,8.28,440.00,119.00,76.80,2.79,44.70,38000.00,86.00,222.00,3.28,18.70
136,W18X211,211.00,62.30,20.70,11.60,1.06,1.91,2.31,3.02,15.10,4330.00,490.00,419.00,8.35,493.00,132.00,85.30,2.82,58.60,43400.00,94.60,246.00,3.32,18.80
137,W18X234,234.00,68.60,21.10,11.70,1.16,2.11,2.51,2.76,13.80,4900.00,549.00,466.00,8.44,558.00,149.00,95.80,2.85,78.70,50100.00,106.00,276.00,3.37,19.00
138,W18X258,258.00,76.00,21.50,11.80,1.28,2.30,2.70,2.56,12.50,5510.00,611.00,514.00,8.53,628.00,166.00,107.00,2.88,103.00,57600.00,116.00,306.00,3.42,19.20
139,W18X283,283.00,83.30,21.90,11.90,1.40,2.50,3.00,2.38,11.30,6170.00,676.00,565.00,8.61,704.00,185.00,118.00,2.91,134.00,65900.00,127.00,339.00,3.47,19.40
140,W18X311,311.00,91.60,22.30,12.00,1.52,2.74,3.24,2.19,10.40,6970.00,754.00,624.00,8.72,795.00,207.00,132.00,2.95,176.00,76200.00,140.00,375.00,3.53,19.60
141,W21X44,44.00,13.00,20.70,6.50,0.35,0.45,0.95,7.22,53.60,843.00,95.40,81.60,8.06,20.70,10.20,6.37,1.26,0.77,2110.00,14.00,46.80,1.60,20.30
142,W21X50,50.00,14.70,20.80,6.53,0.38,0.54,1.04,6.10,49.40,984.00,110.00,94.50,8.18,24.90,12.20,7.64,1.30,1.14,2570.00,16.70,53.90,1.64,20.30
143,W21X57,57.00,16.70,21.10,6.56,0.41,0.65,1.15,5.04,46.30,1170.00,129.00,111.00,8.36,30.60,14.80,9.35,1.35,1.77,3190.00,20.50,63.40,1.68,20.50
144,W21X48,48.00,14.10,20.60,8.14,0.35,0.43,0.93,9.47,53.60,959.00,107.00,93.00,8.24,38.70,14.90,9.52,1.66,0.80,3950.00,16.90,52.30,2.05,20.20
145,W21X55,55.00,16.20,20.80,8.22,0.38,0.52,1.02,7.87,50.00,1140.00,126.00,110.00,8.40,48.40,18.40,11.80,1.73,1.24,4980.00,20.80,61.80,2.11,20.28
146,W21X62,62.00,18.30,21.00,8.24,0.40,0.62,1.12,6.70,46.90,1330.00,144.00,127.00,8.54,57.50,21.70,14.00,1.77,1.83,5960.00,24.60,71.20,2.15,20.40
147,W21X68,68.00,20.00,21.10,8.27,0.43,0.69,1.19,6.04,43.60,1480.00,160.00,140.00,8.60,64.70,24.40,15.70,1.80,2.45,6760.00,27.40,78.70,2.17,20.40
148,W21X73,73.00,21.50,21.20,8.30,0.46,0.74,1.24,5.60,41.20,1600.00,172.00,151.00,8.64,70.60,26.60,17.00,1.81,3.02,7410.00,29.70,85.00,2.19,20.50
149,W21X83,83.00,24.40,21.40,8.36,0.52,0.84,1.34,5.00,36.40,1830.00,196.00,171.00,8.67,81.40,30.50,19.50,1.83,4.34,8630.00,33.70,96.80,2.21,20.60
150,W21X93,93.00,27.30,21.60,8.42,0.58,0.93,1.43,4.53,32.30,2070.00,221.00,192.00,8.70,92.90,34.70,22.10,1.84,6.03,9940.00,37.70,109.00,2.24,20.70
151,W21X101,101.00,29.80,21.40,12.30,0.50,0.80,1.30,7.68,37.50,2420.00,253.00,227.00,9.02,248.00,61.70,40.30,2.89,5.21,26200.00,48.60,126.00,3.35,20.60
152,W21X111,111.00,32.60,21.50,12.30,0.55,0.88,1.38,7.05,34.10,2670.00,279.00,249.00,9.05,274.00,68.20,44.50,2.90,6.83,29200.00,53.00,138.00,3.37,20.60
153,W21X122,122.00,35.90,21.70,12.40,0.60,0.96,1.46,6.45,31.30,2960.00,307.00,273.00,9.09,305.00,75.60,49.20,2.92,8.98,32700.00,58.70,153.00,3.40,20.70
154,W21X132,132.00,38.80,21.80,12.40,0.65,1.04,1.54,6.01,28.90,3220.00,333.00,295.00,9.12,333.00,82.30,53.50,2.93,11.30,36000.00,62.80,164.00,3.43,20.80
155,W21X147,147.00,43.20,22.10,12.50,0.72,1.15,1.65,5.44,26.10,3630.00,373.00,329.00,9.17,376.00,92.60,60.10,2.95,15.40,41100.00,71.00,186.00,3.46,21.00
156,W21X166,166.00,48.80,22.50,12.40,0.75,1.36,1.86,4.57,25.00,4280.00,432.00,380.00,9.36,435.00,108.00,70.00,2.99,23.60,48500.00,83.70,215.00,3.48,21.10
157,W21X182,182.00,53.60,22.70,12.50,0.83,1.48,1.98,4.22,22.60,4730.00,476.00,417.00,9.40,483.00,119.00,77.20,3.00,30.70,54400.00,91.60,237.00,3.51,21.20
158,W21X201,201.00,59.30,23.00,12.60,0.91,1.63,2.13,3.86,20.60,5310.00,530.00,461.00,9.47,542.00,133.00,86.10,3.02,40.90,62000.00,102.00,264.00,3.55,21.40
159,W24X55,55.00,16.20,23.60,7.01,0.40,0.51,1.01,6.94,54.60,1350.00,134.00,114.00,9.11,29.10,13.30,8.30,1.34,1.18,3870.00,19.30,66.10,1.72,23.10
160,W24X62,62.00,18.20,23.70,7.04,0.43,0.59,1.09,5.97,50.10,1550.00,153.00,131.00,9.23,34.50,15.70,9.80,1.38,1.71,4620.00,22.50,75.30,1.75,23.10
161,W24X68,68.00,20.10,23.70,8.97,0.42,0.59,1.09,7.66,52.00,1830.00,177.00,154.00,9.55,70.40,24.50,15.70,1.87,1.87,9430.00,28.90,87.00,2.30,23.10
162,W24X76,76.00,22.40,23.90,8.99,0.44,0.68,1.18,6.61,49.00,2100.00,200.00,176.00,9.69,82.50,28.60,18.40,1.92,2.68,11100.00,33.80,98.90,2.33,23.20
163,W24X84,84.00,24.70,24.10,9.02,0.47,0.77,1.27,5.86,45.90,2370.00,224.00,196.00,9.79,94.40,32.60,20.90,1.95,3.70,12800.00,38.40,111.00,2.37,23.30
164,W24X94,94.00,27.70,24.30,9.07,0.52,0.88,1.38,5.18,41.90,2700.00,254.00,222.00,9.87,109.00,37.50,24.00,1.98,5.26,15000.00,43.80,126.00,2.40,23.40
165,W24X103,103.00,30.30,24.50,9.00,0.55,0.98,1.48,4.59,39.20,3000.00,280.00,245.00,10.00,119.00,41.50,26.50,1.99,7.07,16600.00,48.70,139.00,2.40,23.50
166,W24X104,104.00,30.70,24.10,12.80,0.50,0.75,1.25,8.50,43.10,3100.00,289.00,258.00,10.10,259.00,62.40,40.70,2.91,4.72,35200.00,53.90,144.00,3.42,23.40
167,W24X117,117.00,34.40,24.30,12.80,0.55,0.85,1.35,7.53,39.20,3540.00,327.00,291.00,10.10,297.00,71.40,46.50,2.94,6.72,40800.00,61.00,163.00,3.46,23.50
168,W24X131,131.00,38.60,24.50,12.90,0.61,0.96,1.46,6.70,35.60,4020.00,370.00,329.00,10.20,340.00,81.50,53.00,2.97,9.50,47100.00,69.50,184.00,3.49,23.50
169,W24X146,146.00,43.00,24.70,12.90,0.65,1.09,1.59,5.92,33.20,4580.00,418.00,371.00,10.30,391.00,93.20,60.50,3.01,13.40,54600.00,78.80,207.00,3.53,23.60
170,W24X162,162.00,47.80,25.00,13.00,0.71,1.22,1.72,5.31,30.60,5170.00,468.00,414.00,10.40,443.00,105.00,68.40,3.05,18.50,62600.00,89.20,233.00,3.57,23.80
171,W24X176,176.00,51.70,25.20,12.90,0.75,1.34,1.84,4.81,28.70,5680.00,511.00,450.00,10.50,479.00,115.00,74.30,3.04,23.90,68400.00,97.10,254.00,3.57,23.90
172,W24X192,192.00,56.50,25.50,13.00,0.81,1.46,1.96,4.43,26.60,6260.00,559.00,491.00,10.50,530.00,126.00,81.80,3.07,30.80,76300.00,107.00,280.00,3.60,24.00
173,W24X207,207.00,60.70,25.70,13.00,0.87,1.57,2.07,4.14,24.80,6820.00,606.00,531.00,10.60,578.00,137.00,88.80,3.08,38.30,84100.00,115.00,302.00,3.62,24.10
174,W24X229,229.00,67.20,26.00,13.10,0.96,1.73,2.23,3.79,22.50,7650.00,675.00,588.00,10.70,651.00,154.00,99.40,3.11,51.30,96100.00,127.00,336.00,3.67,24.30
175,W24X250,250.00,73.50,26.30,13.20,1.04,1.89,2.39,3.49,20.70,8490.00,744.00,644.00,10.70,724.00,171.00,110.00,3.14,66.60,108000.00,140.00,370.00,3.71,24.40
176,W24X279,279.00,81.90,26.70,13.30,1.16,2.09,2.59,3.18,18.60,9600.00,835.00,718.00,10.80,823.00,193.00,124.00,3.17,90.50,125000.00,156.00,416.00,3.76,24.60
177,W24X306,306.00,89.70,27.10,13.40,1.26,2.28,2.78,2.94,17.10,10700.00,922.00,789.00,10.90,919.00,214.00,137.00,3.20,117.00,142000.00,172.00,459.00,3.81,24.80
178,W24X335,335.00,98.30,27.50,13.50,1.38,2.48,2.98,2.73,15.60,11900.00,1020.00,864.00,11.00,1030.00,238.00,152.00,3.23,152.00,161000.00,188.00,506.00,3.86,25.00
179,W24X370,370.00,109.00,28.00,13.70,1.52,2.72,3.22,2.51,14.20,13400.00,1130.00,957.00,11.10,1160.00,267.00,170.00,3.27,201.00,186000.00,209.00,568.00,3.92,25.30
180,W27X84,84.00,24.70,26.70,10.00,0.46,0.64,1.24,7.78,52.70,2850.00,244.00,213.00,10.70,106.00,33.20,21.20,2.07,2.81,17900.00,39.80,121.00,2.54,26.10
181,W27X94,94.00,27.60,26.90,10.00,0.49,0.75,1.34,6.70,49.50,3270.00,278.00,243.00,10.90,124.00,38.80,24.80,2.12,4.03,21300.00,46.30,137.00,2.59,26.20
182,W27X102,102.00,30.00,27.10,10.00,0.52,0.83,1.43,6.03,47.10,3620.00,305.00,267.00,11.00,139.00,43.40,27.80,2.15,5.28,24000.00,51.70,151.00,2.62,26.30
183,W27X114,114.00,33.60,27.30,10.10,0.57,0.93,1.53,5.41,42.50,4080.00,343.00,299.00,11.00,159.00,49.30,31.50,2.18,7.33,27600.00,58.40,170.00,2.65,26.40
184,W27X129,129.00,37.80,27.60,10.00,0.61,1.10,1.70,4.55,39.70,4760.00,395.00,345.00,11.20,184.00,57.60,36.80,2.21,11.10,32500.00,68.40,195.00,2.66,26.50
185,W27X146,146.00,43.20,27.40,14.00,0.61,0.98,1.76,7.16,39.40,5660.00,464.00,414.00,11.50,443.00,97.70,63.50,3.20,11.30,77200.00,86.30,229.00,3.76,26.40
186,W27X161,161.00,47.60,27.60,14.00,0.66,1.08,1.87,6.49,36.10,6310.00,515.00,458.00,11.50,497.00,109.00,70.90,3.23,15.10,87300.00,95.50,254.00,3.79,26.50
187,W27X178,178.00,52.50,27.80,14.10,0.73,1.19,1.98,5.92,32.90,7020.00,570.00,505.00,11.60,555.00,122.00,78.80,3.25,20.10,98400.00,106.00,282.00,3.83,26.60
188,W27X194,194.00,57.10,28.10,14.00,0.75,1.34,2.13,5.24,31.80,7860.00,631.00,559.00,11.70,619.00,136.00,88.10,3.29,27.10,111000.00,119.00,312.00,3.85,26.80
189,W27X217,217.00,63.90,28.40,14.10,0.83,1.50,2.29,4.71,28.70,8910.00,711.00,627.00,11.80,704.00,154.00,100.00,3.32,37.60,128000.00,134.00,351.00,3.89,26.90
190,W27X235,235.00,69.40,28.70,14.20,0.91,1.61,2.40,4.41,26.20,9700.00,772.00,677.00,11.80,769.00,168.00,108.00,3.33,47.00,141000.00,145.00,384.00,3.92,27.10
191,W27X258,258.00,76.10,29.00,14.30,0.98,1.77,2.56,4.03,24.40,10800.00,852.00,745.00,11.90,859.00,187.00,120.00,3.36,61.60,159000.00,160.00,424.00,3.96,27.20
192,W27X281,281.00,83.10,29.30,14.40,1.06,1.93,2.72,3.72,22.50,11900.00,936.00,814.00,12.00,953.00,206.00,133.00,3.39,79.50,178000.00,176.00,466.00,4.00,27.40
193,W27X307,307.00,90.20,29.60,14.40,1.16,2.09,2.88,3.46,20.60,13100.00,1030.00,887.00,12.00,1050.00,227.00,146.00,3.41,101.00,199000.00,190.00,508.00,4.04,27.50
194,W27X336,336.00,99.20,30.00,14.60,1.26,2.28,3.07,3.19,18.90,14600.00,1130.00,972.00,12.10,1180.00,252.00,162.00,3.45,131.00,226000.00,211.00,563.00,4.10,27.70
195,W27X368,368.00,109.00,30.40,14.70,1.38,2.48,3.27,2.96,17.30,16200.00,1240.00,1060.00,12.20,1310.00,279.00,179.00,3.48,170.00,255000.00,231.00,621.00,4.15,27.90
196,W27X539,539.00,159.00,32.50,15.30,1.97,3.54,4.33,2.15,12.10,25600.00,1890.00,1570.00,12.70,2110.00,437.00,277.00,3.65,496.00,443000.00,342.00,943.00,4.41,29.00
197,W30X90,90.00,26.30,29.50,10.40,0.47,0.61,1.26,8.52,57.50,3610.00,283.00,245.00,11.70,115.00,34.70,22.10,2.09,2.84,24000.00,43.70,139.00,2.60,28.90
198,W30X99,99.00,29.00,29.70,10.50,0.52,0.67,1.32,7.80,51.90,3990.00,312.00,269.00,11.70,128.00,38.60,24.50,2.10,3.77,26800.00,48.50,154.00,2.62,29.00
199,W30X108,108.00,31.70,29.80,10.50,0.55,0.76,1.41,6.89,49.60,4470.00,346.00,299.00,11.90,146.00,43.90,27.90,2.15,4.99,30900.00,54.90,170.00,2.67,29.00
200,W30X116,116.00,34.20,30.00,10.50,0.57,0.85,1.50,6.17,47.80,4930.00,378.00,329.00,12.00,164.00,49.20,31.30,2.19,6.43,34900.00,61.50,187.00,2.70,29.20
201,W30X124,124.00,36.50,30.20,10.50,0.59,0.93,1.58,5.65,46.20,5360.00,408.00,355.00,12.10,181.00,54.00,34.40,2.23,7.99,38600.00,67.50,202.00,2.73,29.30
202,W30X132,132.00,38.80,30.30,10.50,0.62,1.00,1.65,5.27,43.90,5770.00,437.00,380.00,12.20,196.00,58.40,37.20,2.25,9.72,42100.00,72.40,215.00,2.75,29.30
203,W30X148,148.00,43.60,30.70,10.50,0.65,1.18,1.83,4.44,41.60,6680.00,500.00,436.00,12.40,227.00,68.00,43.30,2.28,14.50,49400.00,85.80,248.00,2.77,29.50
204,W30X173,173.00,50.90,30.40,15.00,0.66,1.07,1.85,7.04,40.80,8230.00,607.00,541.00,12.70,598.00,123.00,79.80,3.42,15.60,129000.00,113.00,301.00,4.03,29.30
205,W30X191,191.00,56.10,30.70,15.00,0.71,1.19,1.97,6.35,37.70,9200.00,675.00,600.00,12.80,673.00,138.00,89.50,3.46,21.00,146000.00,125.00,335.00,4.06,29.50
206,W30X211,211.00,62.30,30.90,15.10,0.78,1.32,2.10,5.74,34.50,10300.00,751.00,665.00,12.90,757.00,155.00,100.00,3.49,28.40,166000.00,140.00,372.00,4.11,29.60
207,W30X235,235.00,69.30,31.30,15.10,0.83,1.50,2.29,5.02,32.20,11700.00,847.00,748.00,13.00,855.00,175.00,114.00,3.51,40.30,190000.00,159.00,421.00,4.13,29.80
208,W30X261,261.00,77.00,31.60,15.20,0.93,1.65,2.44,4.59,28.70,13100.00,943.00,829.00,13.10,959.00,196.00,127.00,3.53,54.10,215000.00,176.00,469.00,4.16,30.00
209,W30X292,292.00,86.00,32.00,15.30,1.02,1.85,2.64,4.12,26.20,14900.00,1060.00,930.00,13.20,1100.00,223.00,144.00,3.58,75.20,250000.00,199.00,529.00,4.22,30.20
210,W30X326,326.00,95.90,32.40,15.40,1.14,2.05,2.84,3.75,23.40,16800.00,1190.00,1040.00,13.20,1240.00,252.00,162.00,3.60,103.00,287000.00,222.00,593.00,4.26,30.40
211,W30X357,357.00,105.00,32.80,15.50,1.24,2.24,3.03,3.45,21.60,18700.00,1320.00,1140.00,13.30,1390.00,279.00,179.00,3.64,134.00,324000.00,244.00,655.00,4.31,30.60
212,W30X391,391.00,115.00,33.20,15.60,1.36,2.44,3.23,3.19,19.70,20700.00,1450.00,1250.00,13.40,1550.00,310.00,198.00,3.67,173.00,366000.00,267.00,722.00,4.37,30.80
213,W33X118,118.00,34.70,32.90,11.50,0.55,0.74,1.44,7.76,54.50,5900.00,415.00,359.00,13.00,187.00,51.30,32.60,2.32,5.30,48300.00,65.10,205.00,2.89,32.20
214,W33X130,130.00,38.30,33.10,11.50,0.58,0.86,1.56,6.73,51.70,6710.00,467.00,406.00,13.20,218.00,59.50,37.90,2.39,7.37,56600.00,75.30,230.00,2.94,32.20
215,W33X141,141.00,41.50,33.30,11.50,0.61,0.96,1.66,6.01,49.60,7450.00,514.00,448.00,13.40,246.00,66.90,42.70,2.43,9.70,64400.00,84.60,253.00,2.98,32.30
216,W33X152,152.00,44.90,33.50,11.60,0.64,1.06,1.76,5.48,47.20,8160.00,559.00,487.00,13.50,273.00,73.90,47.20,2.47,12.40,71700.00,94.30,278.00,3.01,32.40
217,W33X169,169.00,49.50,33.80,11.50,0.67,1.22,1.92,4.71,44.70,9290.00,629.00,549.00,13.70,310.00,84.40,53.90,2.50,17.70,82400.00,108.00,311.00,3.03,32.60
218,W33X201,201.00,59.10,33.70,15.70,0.72,1.15,1.94,6.85,41.70,11600.00,773.00,686.00,14.00,749.00,147.00,95.20,3.56,20.80,198000.00,140.00,382.00,4.21,32.60
219,W33X221,221.00,65.30,33.90,15.80,0.78,1.28,2.06,6.20,38.50,12900.00,857.00,759.00,14.10,840.00,164.00,106.00,3.59,27.80,224000.00,156.00,423.00,4.25,32.60
220,W33X241,241.00,71.10,34.20,15.90,0.83,1.40,2.19,5.66,35.90,14200.00,940.00,831.00,14.10,933.00,182.00,118.00,3.62,36.20,251000.00,173.00,467.00,4.29,32.80
221,W33X263,263.00,77.40,34.50,15.80,0.87,1.57,2.36,5.03,34.30,15900.00,1040.00,919.00,14.30,1040.00,202.00,131.00,3.66,48.70,281000.00,193.00,515.00,4.31,32.90
222,W33X291,291.00,85.60,34.80,15.90,0.96,1.73,2.52,4.60,31.00,17700.00,1160.00,1020.00,14.40,1160.00,226.00,146.00,3.68,65.10,319000.00,214.00,573.00,4.34,33.10
223,W33X318,318.00,93.70,35.20,16.00,1.04,1.89,2.68,4.23,28.70,19500.00,1270.00,1110.00,14.50,1290.00,250.00,161.00,3.71,84.40,357000.00,235.00,632.00,4.40,33.30
224,W33X354,354.00,104.00,35.60,16.10,1.16,2.09,2.88,3.85,25.70,22000.00,1420.00,1240.00,14.50,1460.00,282.00,181.00,3.74,115.00,408000.00,262.00,707.00,4.44,33.50
225,W33X387,387.00,114.00,36.00,16.20,1.26,2.28,3.07,3.55,23.70,24300.00,1560.00,1350.00,14.60,1620.00,312.00,200.00,3.77,148.00,459000.00,287.00,778.00,4.49,33.70
226,W36X135,135.00,39.90,35.60,12.00,0.60,0.79,1.54,7.56,54.10,7800.00,509.00,439.00,14.00,225.00,59.70,37.70,2.38,7.00,68100.00,77.90,251.00,2.99,34.80
